ID	Individual	EXPERIMENT	RUN	FASTQ_URI	Factor_Value_disease	Factor_Value_cell_type
AZ_A10	AZ	ERX1700347	ERR1630014	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630014/ERR1630014.fastq.gz	normal	delta cell
AZ_A11	AZ	ERX1700348	ERR1630015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630015/ERR1630015.fastq.gz	normal	alpha cell
AZ_A12	AZ	ERX1700349	ERR1630016	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630016/ERR1630016.fastq.gz	normal	delta cell
AZ_A2	AZ	ERX1700350	ERR1630017	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630017/ERR1630017.fastq.gz	normal	gamma cell
AZ_A5	AZ	ERX1700353	ERR1630020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630020/ERR1630020.fastq.gz	normal	ductal cell
AZ_A6	AZ	ERX1700354	ERR1630021	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630021/ERR1630021.fastq.gz	normal	alpha cell
AZ_A7	AZ	ERX1700355	ERR1630022	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630022/ERR1630022.fastq.gz	normal	acinar cell
AZ_A8	AZ	ERX1700356	ERR1630023	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630023/ERR1630023.fastq.gz	normal	beta cell
AZ_A9	AZ	ERX1700357	ERR1630024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630024/ERR1630024.fastq.gz	normal	unclassified endocrine cell
AZ_B1	AZ	ERX1700358	ERR1630025	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630025/ERR1630025.fastq.gz	normal	delta cell
AZ_B10	AZ	ERX1700359	ERR1630026	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630026/ERR1630026.fastq.gz	normal	delta cell
AZ_B11	AZ	ERX1700360	ERR1630027	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630027/ERR1630027.fastq.gz	normal	co-expression cell
AZ_B12	AZ	ERX1700361	ERR1630028	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630028/ERR1630028.fastq.gz	normal	alpha cell
AZ_B2	AZ	ERX1700362	ERR1630029	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630029/ERR1630029.fastq.gz	normal	alpha cell
AZ_B3	AZ	ERX1700363	ERR1630030	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630030/ERR1630030.fastq.gz	normal	alpha cell
AZ_B4	AZ	ERX1700364	ERR1630031	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630031/ERR1630031.fastq.gz	normal	unclassified endocrine cell
AZ_B5	AZ	ERX1700365	ERR1630032	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630032/ERR1630032.fastq.gz	normal	alpha cell
AZ_B8	AZ	ERX1700368	ERR1630035	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630035/ERR1630035.fastq.gz	normal	acinar cell
AZ_B9	AZ	ERX1700369	ERR1630036	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630036/ERR1630036.fastq.gz	normal	alpha cell
AZ_C1	AZ	ERX1700370	ERR1630037	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630037/ERR1630037.fastq.gz	normal	alpha cell
AZ_C10	AZ	ERX1700371	ERR1630038	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630038/ERR1630038.fastq.gz	normal	beta cell
AZ_C11	AZ	ERX1700372	ERR1630039	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630039/ERR1630039.fastq.gz	normal	delta cell
AZ_C2	AZ	ERX1700374	ERR1630041	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630041/ERR1630041.fastq.gz	normal	alpha cell
AZ_C3	AZ	ERX1700375	ERR1630042	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630042/ERR1630042.fastq.gz	normal	ductal cell
AZ_C4	AZ	ERX1700376	ERR1630043	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630043/ERR1630043.fastq.gz	normal	beta cell
AZ_C5	AZ	ERX1700377	ERR1630044	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630044/ERR1630044.fastq.gz	normal	alpha cell
AZ_C8	AZ	ERX1700380	ERR1630047	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630047/ERR1630047.fastq.gz	normal	alpha cell
AZ_C9	AZ	ERX1700381	ERR1630048	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630048/ERR1630048.fastq.gz	normal	ductal cell
AZ_D12	AZ	ERX1700385	ERR1630052	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630052/ERR1630052.fastq.gz	normal	gamma cell
AZ_D2	AZ	ERX1700386	ERR1630053	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630053/ERR1630053.fastq.gz	normal	beta cell
AZ_D3	AZ	ERX1700387	ERR1630054	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630054/ERR1630054.fastq.gz	normal	alpha cell
