ID	Individual	Experiment	Run	FASTQ_URI	molecular_subtype
BC01	BC01	SRX1462623	SRR2973279		 (ER+)
BC01.1	BC01	SRX1462624	SRR2973280		 (ER+)
BC01.2	BC01	SRX1462625	SRR2973281		 (ER+)
BC01.3	BC01	SRX1462626	SRR2973282		 (ER+)
BC01.4	BC01	SRX1462627	SRR2973283		 (ER+)
BC01.5	BC01	SRX1462628	SRR2973284		 (ER+)
BC01.6	BC01	SRX1462629	SRR2973285		 (ER+)
BC01.7	BC01	SRX1462630	SRR2973286		 (ER+)
BC01.8	BC01	SRX1462631	SRR2973287		 (ER+)
BC01.9	BC01	SRX1462632	SRR2973288		 (ER+)
BC01.10	BC01	SRX1462633	SRR2973289		 (ER+)
BC01.11	BC01	SRX1462634	SRR2973290		 (ER+)
BC01.12	BC01	SRX1462635	SRR2973291		 (ER+)
BC01.13	BC01	SRX1462636	SRR2973292		 (ER+)
BC01.14	BC01	SRX1462637	SRR2973293		 (ER+)
BC01.15	BC01	SRX1462638	SRR2973294		 (ER+)
BC01.16	BC01	SRX1462639	SRR2973295		 (ER+)
BC01.17	BC01	SRX1462640	SRR2973296		 (ER+)
BC01.18	BC01	SRX1462641	SRR2973297		 (ER+)
BC01.19	BC01	SRX1462642	SRR2973298		 (ER+)
BC01.20	BC01	SRX1462643	SRR2973299		 (ER+)
BC01.21	BC01	SRX2350083	SRR5023381		 (ER+)
BC01.22	BC01	SRX2350084	SRR5023382		 (ER+)
BC01.23	BC01	SRX2350085	SRR5023383		 (ER+)
BC01.24	BC01	SRX2350086	SRR5023384		 (ER+)
BC01.25	BC01	SRX2350087	SRR5023385		 (ER+)
BC02	BC02	SRX2350089	SRR5023386		 (ER+)
BC02.1	BC02	SRX2350090	SRR5023387		 (ER+)
BC02.2	BC02	SRX2350091	SRR5023388		 (ER+)
BC02.3	BC02	SRX2350092	SRR5023389		 (ER+)
BC02.4	BC02	SRX2350093	SRR5023390		 (ER+)
BC02.5	BC02	SRX2350094	SRR5023391		 (ER+)
BC02.6	BC02	SRX2350095	SRR5023392		 (ER+)
BC02.7	BC02	SRX2350096	SRR5023393		 (ER+)
BC02.8	BC02	SRX2350097	SRR5023394		 (ER+)
BC02.9	BC02	SRX2350098	SRR5023395		 (ER+)
BC02.10	BC02	SRX2350100	SRR5023396		 (ER+)
BC02.11	BC02	SRX2350101	SRR5023397		 (ER+)
BC02.12	BC02	SRX2350102	SRR5023398		 (ER+)
BC02.13	BC02	SRX2350103	SRR5023399		 (ER+)
BC02.14	BC02	SRX2350104	SRR5023400		 (ER+)
BC02.15	BC02	SRX2350105	SRR5023401		 (ER+)
BC02.16	BC02	SRX2350106	SRR5023402		 (ER+)
BC02.17	BC02	SRX2350107	SRR5023403		 (ER+)
BC02.18	BC02	SRX2350108	SRR5023404		 (ER+)
BC02.19	BC02	SRX2350109	SRR5023405		 (ER+)
BC02.20	BC02	SRX2350110	SRR5023406		 (ER+)
